Nome Trabalho;Nome Evento Cadastrado;Nome Evento Canônico
Proposta de Arquitetura de Microsserviços para um Sistema de CRM Social;Anais do I Workshop de Informação, Dados e Tecnologia (WIDAT'2017);WORKSHOP DE INFORMAÇÃO, DADOS E TECNOLOGIA
Uma Análise das Relações Existentes entre os Critérios da Qualidade da Informação e os Aspecto de Big Data;Anais do XVIII Encontro Nacional de Pesquisa em Ciência da Informação (XVIII ENANCIB);ENCONTRO NACIONAL DE PESQUISA EM CIÊNCIA DA INFORMAÇÃO
Avaliação de Desempenho de Redes SDN Utilizando Metodologia Experimental;Anais do 7o Congresso Interdisciplinar da FASETE;CONGRESSO INTERDISCIPLINAR DA FASETE
An e-Health Study Case Environment Enhanced by the Utilization of a Quality of Context Paradigm;2018 IEEE Symposium on Computers and Communications (ISCC);International Symposium on Computers and Communications
Evaluation of Cache for Bandwidth Optimization in ICN Through Software-Defined Networks;2018 IEEE Symposium on Computers and Communications (ISCC);International Symposium on Computers and Communications
Video7: An Architecture for Storage and Recovery of Streaming Audio and Video in NoSQL Database;2018 Symposium on High Performance Computing Systems (WSCAD);Simpósio em Sistemas Computacionais de Alto Desempenho
A Ciência da Informação e a Engenharia de Requisitos de Software: Convergências entre as Duas Áreas;Anais do XIX Encontro Nacional de Pesquisa em Ciência da Informação (XIX ENANCIB);ENCONTRO NACIONAL DE PESQUISA EM CIÊNCIA DA INFORMAÇÃO
Uma Análise Qualitativa dos Repositórios Digitais Arquivísticos Confiáveis (RDC-ARQ);Anais do XIX Encontro Nacional de Pesquisa em Ciência da Informação (XIX ENANCIB);ENCONTRO NACIONAL DE PESQUISA EM CIÊNCIA DA INFORMAÇÃO
Absence Forecast in Specialized Care in Public Health Units of Florianópolis;Anais do II Workshop de Informação, Dados e Tecnologia (WIDaT);WORKSHOP DE INFORMAÇÃO, DADOS E TECNOLOGIA
A Cloud Immune Security Model Based on Alert Correlation and Software Defined Network;2019 IEEE 28th International Conference on Enabling Technologies: Infrastructure for Collaborative Enterprises (WETICE);IEEE International Conference on Enabling Technologies: Infrastructure for Collaborative Enterprises
A Novel Immune Detection Approach Enhanced by Attack Graph Based Correlation;2019 IEEE Symposium on Computers and Communications (ISCC);International Symposium on Computers and Communications
A Method to Estimate Entity Performance from Mentions to Related Entities in Texts on the Web;Proceedings of the 21st International Conference on Information Integration and Web-based Applications &amp,amp, Services;International Conference on Information Integration and Web-based Applications & Services
Investigação do Impacto de Frameworks de Desenvolvimento de Software na Segurança de Sistemas Web;3º Workshop Regional de Segurança da Informação e de Sistemas Computacionais (WRSeg 2018);WORKSHOP REGIONAL DE SEGURANÇA DA INFORMAÇÃO E DE SISTEMAS COMPUTACIONAIS
Use case or activity diagram, that is the question!;Proceedings of the XVIII Brazilian Symposium on Software Quality - SBQS&amp,apos,19;Simpósio Brasileiro de Qualidade de Software
Private Verification of Access on Medical Data: An Initial Study;Data Privacy Management, Cryptocurrencies and Blockchain Technology. ESORICS 2017, DPM 2017, CBT 2017;European Symposium on Research in Computer Security
A GESTÃO UNIVERSITÁRIA EM UMA PERSPECTIVA SÓCIO-TÉCNICA SOBRE O USO DA CERTIFICAÇÃO DIGITAL EM NUVEM NA UNIVERSIDADE FEDERAL DE SANTA CATARINA, SEGUNDO AS NORMATIVAS 06 E 10 DE 2017 DO INSTITUTO NACIONAL DE TECNOLOGIA DA INFORMAÇÃO.;Anais dos Colóquios Internacionais sobre Gestão Universitária - CIGU;COLÓQUIOS INTERNACIONAIS SOBRE GESTÃO UNIVERSITÁRIA
Tuning the Winternitz hash-based digital signature scheme;2018 IEEE Symposium on Computers and Communications (ISCC);International Symposium on Computers and Communications
Processamento Distribuído de Grafos: Modelagem de Desempenho e Escalonamento de Tarefas Moldáveis;Anais do Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos (SBRC);Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos
Performance Modeling and Task Scheduling in Distributed Graph Processing;Proceedings: 2018 IEEE International Congress on Big Data;IEEE International Congress on Big Data
Semantic Data-Driven Microservices;2019 IEEE 43rd Annual Computer Software and Applications Conference (COMPSAC);Annual International Computers, Software & Applications Conference
Semantic Enrichment of Services for Linked Data Provision in SOA;Proceedings of the XV Brazilian Symposium on Information Systems - SBSI'19;Simpósio Brasileiro de Sistemas de Informação
Scalable Precondition-Aware Service Composition with SPARQL;Proceedings of the 2019 IEEE Symposium on Computers and Communications;International Symposium on Computers and Communications
Providing Data Integrity in Graph Databases;2019 XLV Latin American Computing Conference (CLEI);Conferencia Latinoamericana de Informática
How Game Engines Can Inspire EDA Tools Development;Proceedings of the 2017 ACM on International Symposium on Physical Design - ISPD '17;ACM International Symposium on Physical Design
On the calculation reuse in hadamard-based SATD;2018 IEEE 9th Latin American Symposium on Circuits &amp,amp, Systems (LASCAS);IEEE Latin American Symposium on Circuits and Systems
Ophidian: an Open-Source Library for Physical Design Research and Teaching;2018 Workshop on Open-Source EDA Technology (WOSET 2018);WORKSHOP ON OPEN-SOURCE EDA TECHNOLOGY
How Deep Learning Can Drive Physical Synthesis Towards More Predictable Legalization;Proceedings of the 2019 International Symposium on Physical Design - ISPD &amp,apos,19;ACM International Symposium on Physical Design
A Soft Real-Time Scheduling Engine for Cost Reduction in Freemium Companies;IEEE ISORC 2017 (20th IEEE International Symposium on Real-Time Computing);IEEE International Symposium on RealTime Distributed Computing
Uma Plataforma de Tempo Real para Priorização de Serviços de IoT na Nuvem;Proceedings of VII Brazilian Symposium on Computing Systems Engineering;Brazilian Symposium on Computing System Engineering
Koordinator: A Service Approach for Replicating Docker Containers in Kubernetes.;Proceedings of the 23th IEEE Symposium on Computers and Communications;International Symposium on Computers and Communications
A Method to Verify Data Integrity in Graph Databases;Proceedings of the 22th IEEE Symposium on Computers and Communications;International Symposium on Computers and Communications
REPO: A Microservices Elastic Management System for Cost Reduction in the Cloud;Proceedings of the 22th IEEE Symposium on Computers and Communications;International Symposium on Computers and Communications
Experimental Evaluation of the Coexistence of IEEE 802.11 EDCA and DCF Mechanisms;Proceedings of the 22th IEEE Symposium on Computers and Communications;International Symposium on Computers and Communications
Interference of IEEE 802.11n Networks upon IEEE 802.15.4-Based WBANs: An Experimental Study;Proceedings of the 16th International Conference of Industrial Informatics;IEEE International Conference on Industrial Informatics
Policy-Based Adaptation of a Byzantine Fault Tolerant Distributed Graph Database;Proceedings of 37th IEEE International Symposium on Reliable Distributed Systems;IEEE Symposium on Reliable Distributed Systems
Avaliação Experimental do Protocolo RT-WiFi em Ambientes Abertos;XXXVII Simpósio Brasileiro de Redes de Computadores (SBRC);Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos
Constantino: Uma Arquitetura BFT Escalável e Eficiente para Blockchains;XXXVII Simpósio Brasileiro de Redes de COmputadores;Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos
HRM Smart Contracts on the Blockchain;Proceedings of 24th IEEE SYMPOSIUM ON COMPUTERS AND COMMUNICATIONS 2019;International Symposium on Computers and Communications
RT-WiFi Approach to Handle Real-Time Communication: An Experimental Evaluation;International Conference on Ad-Hoc Networks and Wireless (ADHOC-NOW 2019);OW - International Conference on Ad-Hoc Networks and Wireless
Provendo Integridade de Dados em Bancos de Dados de Grafos.;Proceedings of XLV Conferência Latino-Americana de Informática;Conferencia Latinoamericana de Informática
Coordenação de Containers no Kubernetes: Uma Abordagem Baseada em Serviço;Proceedings of 35th Simpósio Brasileiro de Redes de Computadores;Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos
Steep coverage-ascent directed test generation for shared-memory verification of multicore chips;Proceedings of the International Conference on Computer-Aided Design - ICCAD '18;IEEE/ACM International Conference on ComputerAided Design
Spec&amp,amp,Check: An Approach to the Building of Shared-Memory Runtime Checkers for Multicore Chip Design Verification;2019 IEEE/ACM International Conference on Computer-Aided Design (ICCAD);IEEE/ACM International Conference on ComputerAided Design
A Reinforcement Learning Approach to Directed Test Generation for Shared Memory Verification;2020 Design, Automation &amp,amp, Test in Europe Conference &amp,amp, Exhibition (DATE);Design, Automation and Test in Europe Conference and Exhibition
RMem: An OS Service for Transparent Remote Memory Access in Lightweight Manycores;Proceedings of the International Workshop on Programmability and Architectures for Heterogeneous Multicores (MULTIPROG);WORKSHOP ON PROGRAMMABILITY AND ARCHITECTURES FOR HETEROGENEOUS MULTICORES
The Hardware Abstraction Layer of Nanvix for the MPPA-256 Lightweight Manycore Processor;Actes de la Conférence d'Informatique en Parallélisme, Architecture et Système (COMPAS);CONFÉRENCE D'INFORMATIQUE EN PARALLÉLISME, ARCHITECTURE ET SYSTÈME
Distributed Memory Graph Representation for Load Balancing Data: Accelerating Data Structure Generation for Decentralized Scheduling;2019 International Conference on High Performance Computing &amp,amp, Simulation (HPCS);International Conference on High Performance Computing & Simulation
On the Performance and Isolation of Asymmetric Microkernel Design for Lightweight Manycores;2019 IX Brazilian Symposium on Computing Systems Engineering (SBESC);Brazilian Symposium on Computing System Engineering
Combined Convolutional Neural Network for High Frequency Restoration in Acoustic Impedance Images;2018 International Joint Conference on Neural Networks (IJCNN);IEEE International Joint Conference on Neural Networks
Adaptive Missing Data Imputation with Incremental Neuro-Fuzzy Gaussian Mixture Network (INFGMN);2018 International Joint Conference on Neural Networks (IJCNN);IEEE International Joint Conference on Neural Networks
Efficient 3D Semantic Segmentation of Seismic Images using Orthogonal Planes 2D Convolutional Neural Networks;2020 International Joint Conference on Neural Networks (IJCNN);IEEE International Joint Conference on Neural Networks
Assessing the Performance of the SRR Loop Scheduler;Proceedings of the International Conference on Computational Science (ICCS);International Conference on Computational Science
Towards the Use of LITMUS-RT as a Testbed for Multiprocessor Scheduling in Energy Harvesting Real-time Systems;Proceedings of the Brazilian Symposium on Computing Systems Engineering (SBESC);Brazilian Symposium on Computing System Engineering
An Overview on Real-Time Constraints for Ambient Intelligence (AmI);15th ACS/IEEE International Conference on Computer Systems and Applications AICCSA 2018;ACS/IEEE International Conference on Computer Systems and Applications
NewSQL Through the Looking Glass;Proceedings of the 21st International Conference on Information Integration and Web-based Applications &amp, Services (iiWAS2019);International Conference on Information Integration and Web-based Applications & Services
LCCSS;Proceedings of the 14th Brazilian Symposium on Software Components, Architectures, and Reuse;BRAZILIAN SYMPOSIUM ON SOFTWARE COMPONENTS, ARCHITECTURES, AND REUSE
A preliminary study on using acceptance tests for representing business requirements of smart contracts;2020 IEEE International Conference on Blockchain and Cryptocurrency (ICBC);IEEE INTERNATIONAL CONFERENCE ON BLOCKCHAIN AND CRYPTOCURRENCY
Mapeamento de Critérios de Aceitação de Transparência de Software para Testes Automatizados;Anais do 23o. Congresso Ibero-americano de Engenharia de Software (CIbSE 2020) - Trilha de Engenharia de Software (SET);Conferencia Iberoamericana de Software Engineering
Effective Ant Colony Optimization Solution for the Brazilian Family Health Team Scheduling Problem;2018 IEEE 30th International Conference on Tools with Artificial Intelligence (ICTAI);IEEE International Conference on Tools with Artificial Intelligence
Characterizing mention mismatching problems for improving recognition results;Proceedings of the 19th International Conference on Information Integration and Web-based Applications &amp,amp, Services - iiWAS &amp,apos,17;International Conference on Information Integration and Web-based Applications & Services
Linguistic Pattern Mining for Data Analysis in Microblog Texts using Word Embeddings;Proceedings of the XV Brazilian Symposium on Information Systems - SBSI&amp,apos,19;Simpósio Brasileiro de Sistemas de Informação
A Method to Estimate Entity Performance from Mentions to Related Entities in Texts on the Web;Proceedings of the 21st International Conference on Information Integration and Web-based Applications &amp,amp, Services;International Conference on Information Integration and Web-based Applications & Services
5-Ions: An Automatic Method for Predicting Entity Performance;SBSI&amp,apos,20: XVI Brazilian Symposium on Information Systems;Simpósio Brasileiro de Sistemas de Informação
Adaptive Agent-Based Environment Model to Enable the Teacher to Create an Adaptive Class;Methodologies and Intelligent Systems for Technology Enhanced Learning. MIS4TEL 2017. Advances in Intelligent Systems and Computing;CONFERENCE IN METHODOLOGIES AND INTELLIGENT SYSTEMS FOR TECHNOLOGY ENHANCED LEARNING
Metadados para o Repositório da Rede E-TEC Brasil;XIV Congresso Brasileiro de Ensino Superior a Distância - ESUD 2017;CONGRESSO BRASILEIRO DE ENSINO SUPERIOR A DISTÂNCIA
How to Create an Adaptive Learning Environment by Means of Virtual Organizations;Learning Technology for Education Challenges 7th International Workshop, LTEC 2018, ilina, Slovakia, August 610, 2018, Proceedings;International Workshop on Learning Technology for Education Challenges
Significant Educational Content Based Learning Model Using Public Ontologies and Multiagent Systems;Highlights of Practical Applications of Agents, Multi-Agent Systems, and Complexity: The PAAMS Collection International Workshops of PAAMS 2018, Toledo, Spain, June 2022, 2018, Proceedings;International Conference on Practical Applications of Agents, Multi-Agent Systems and Sustainability
Negotiation strategies in multi-agent systems for meeting scheduling;Anais do CLEI-SLIOIA - Simpósio Latino-americano em Pesquisa Operacional e Inteligência Artificial;SIMPÓSIO LATINO-AMERICANO EM PESQUISA OPERACIONAL E INTELIGÊNCIA ARTIFICIAL
Privacy-aware web authentication protocol with recovery and revocation;XVII Simpo&amp,#769,sio Brasileiro de Seguranc&amp,#807,a da Informac&amp,#807,a&amp,#771,o e de Sistemas Computacionais - SBSEG 2017;Simpósio Brasileiro em Segurança da Informação e de Sistemas Computacionais
Análise de Vulnerabilidade de Esquemas de Segredo Compartilhado Considerando um novo Modelo de Ameaça;XVII Simpo&amp,#769,sio Brasileiro de Seguranc&amp,#807,a da Informac&amp,#807,a&amp,#771,o e de Sistemas Computacionais - SBSeg 2017;Simpósio Brasileiro em Segurança da Informação e de Sistemas Computacionais
Tuning the Winternitz hash-based digital signature scheme;2018 IEEE Symposium on Computers and Communications (ISCC);International Symposium on Computers and Communications
Secret Sharing Schemes with Hidden Sets;2018 IEEE Symposium on Computers and Communications (ISCC);International Symposium on Computers and Communications
Handling Vinegar Variables to Shorten Rainbow Key Pairs;International Conference on Cryptology in Africa;International Conference on Cryptology in Africa
Ferramenta de Modelagem de Banco de Dados Relacionais brModelo v3;XIII Escola Regional de Banco de Dados (ERBD 2017);ESCOLA REGIONAL DE BANCO DE DADOS
Um Survey sobre Extração de Esquemas de Documentos JSON;Escola Regional de Banco de Dados (ERBD 2017);ESCOLA REGIONAL DE BANCO DE DADOS
DINo: Uma Ferramenta para Importação de Dados em Bancos de Dados NoSQL;XIV Escola Regional de Banco de Dados;ESCOLA REGIONAL DE BANCO DE DADOS
An Approach for Schema Extraction of JSON and Extended JSON Document Collections;Proceedings of the XIX IEEE International Conference on Information Reuse and Integration for Data Science (IRI 2018);IEEE International Conference on Information Reuse and Integration
A Middleware for Storing Massive RDF Graphs into NoSQL;Proceedings of the Workshop on Thesis and Dissertations in Databases of the XXXII Brazilian Symposium on Databases;WORKSHOP ON THESIS AND DISSERTATIONS IN DATABASES OF THE SBBD
An Autonomous Hybrid Data Partition for NewSQL DBs;Workshop on Thesis and Dissertations in Databases of the XXXIII Brazilian Symposium on Databases;WORKSHOP ON THESIS AND DISSERTATIONS IN DATABASES OF THE SBBD
Methodology for Reverse Engineering of Aggregate-Oriented NoSQL Databases with Emphasis on Geographic Data;Proceedings of the Workshop on Thesis and Dissertations in Databases of the XXXIII Brazilian Symposium on Databases;WORKSHOP ON THESIS AND DISSERTATIONS IN DATABASES OF THE SBBD
Uma Análise de Soluções NewSQL;XV Escola Regional de Banco de Dados (ERBD 2019);ESCOLA REGIONAL DE BANCO DE DADOS
Workload-Awareness in a NoSQL-Based Triplestore;Proceedings of the XXIII European Conference on Advances in Databases and Information Systems;East European Conference on Advances in Databases and Information Systems
A Middleware for Polyglot Persistence of RDF Data into NoSQL Databases;2019 IEEE 20th International Conference on Information Reuse and Integration for Data Science (IRI);IEEE International Conference on Information Reuse and Integration
A Hybrid Partitioning Strategy for NewSQL Databases;Proceedings of the 21st International Conference on Information Integration and Web-based Applications &amp,amp, Services;International Conference on Information Integration and Web-based Applications & Services
NewSQL Through the Looking Glass;Proceedings of the 21st International Conference on Information Integration and Web-based Applications &amp,amp, Services;International Conference on Information Integration and Web-based Applications & Services
An analysis of mapping strategies for storing RDF data into NoSQL databases;SAC &amp,apos,20: The 35th ACM/SIGAPP Symposium on Applied Computing;ACM Symposium on Applied Computing
An Approach for Schema Extraction of NoSQL Graph Databases;Proceedings of the 2020 IEEE 21st International Conference on Information Reuse and Integration for Data Science (IRI);IEEE International Conference on Information Reuse and Integration
MASTER: A Multiple Aspects View on Trajectories;Proceedings of the 28th Italian Symposium on Advanced Database Systems;ITALIAN SYMPOSIUM ON ADVANCED DATABASE SYSTEMS
A Top-Down Algorithm with Free Distance Parameter for Mining Top-k Flock Patterns;Procedings of the 21st International Conference on Geo-Information Science;Conference on Geographic Information Science
MOVELETS;Proceedings of the 33rd Annual ACM Symposium on Applied Computing - SAC &amp,apos,18;ACM Symposium on Applied Computing
Exploring Frequency-based Approaches for Efficient Trajectory Classification;Proceedings of the 35 Symposium on Applied Computing;ACM Symposium on Applied Computing
A Platform for Vehicular Networks in the Cloud to Applications in Intelligent Transportation Systems;2017 IEEE 26th International Conference on Enabling Technologies: Infrastructure for Collaborative Enterprises (WETICE);IEEE International Conference on Enabling Technologies: Infrastructure for Collaborative Enterprises
An Autonomic QoE-Aware Management Architecture for Software-Defined Networking;2017 IEEE 26th International Conference on Enabling Technologies: Infrastructure for Collaborative Enterprises (WETICE);IEEE International Conference on Enabling Technologies: Infrastructure for Collaborative Enterprises
A Statistical Analysis of the Performance Variability of Statistical Analysis of the Performance Variability;International Conference on Computational Science, ICCS 2017, 12-14 June 2017, Zurich, Switzerland;International Conference on Computational Science
Saturnus: Um Simulador de Sistemas de Arquivos Paralelos;Anais do WSCAD-WIC 2017;Workshop de Iniciação Científica do WSCAD
Um Modelo de Reconhecimento de Atividades Humanas Baseado no Uso de Acelerometro com QoC;Anais do WSCAD-WIC 2017;Workshop de Iniciação Científica do WSCAD
The Boulitre Project: Implementing MPI-IO and HDF5 APIs Inside the IOR-Extended Benchmark;Anais do WSCAD-WIC 2017;Workshop de Iniciação Científica do WSCAD
An Autonomic QoS management architecture for Software-Defined Networking environments;2017 IEEE Symposium on Computers and Communications (ISCC);International Symposium on Computers and Communications
Enabling efficient stencil code generation in OpenACC;nternational Conference on Computational Science, ICCS 2017;International Conference on Computational Science
Extending OpenACC for Efficient Stencil Code Generation and Execution by Skeleton Frameworks;2017 International Conference on High Performance Computing &amp,amp, Simulation (HPCS);International Conference on High Performance Computing & Simulation
Jogos de Programar como uma Abordagem para os Primeiros Contatos dos Estudantes com à Programação;I WOKSHOP DE ENSINO EM PENSAMENTO COMPUTACIONAL, ALGORITMOS E PROGRAMAÇÃO;Workshop de Ensino em Pensamento Computacional, Algoritmos e Programação
Characteristics, attributes, metrics and usability recommendations: a systematic mapping;ACHI 2014, THE SEVENTH INTERNATIONAL CONFERENCE ON ADVANCES IN COMPUTER-HUMAN INTERACTIONS;IARIA International Conference on Advances in Computer-Human Interactions
Green metrics to software development organizations: a systematic mapping;PROCEEDINGS OF THE 2014 LATIN AMERICAN COMPUTING CONFERENCE (CLEI);Conferencia Latinoamericana de Informática
Portugol Studio: Uma IDE para Iniciantes em Programação.;ANAIS DO CONGRESSO ANUAL DA SOCIEDADE BRASILEIRA DE COMPUTAÇÃO;Workshop sobre Educação em Computação
Portugol Studio: Uma IDE para Iniciantes em Programação.;WORKSHOP SOBRE EDUCAÇÃO EM INFORMÁTICA;Workshop sobre Educação em Computação
Single Braille Cell;5TH ISSNIP-IEEE BIOSIGNALS AND BIOROBOTICS CONFERENCE;ISSNIP BIOSIGNALS AND BIOROBOTICS CONFERENCE
Desenvolvimento de uma solução de comunicação alternativa para dispositivos móveis para crianças com distúrbios de comunicação baseada em normas de acessibilidade;CONGRESSO BRASILEIRO DE INFORMÁTICA NA EDUCAÇÃO E X CONFERÊNCIA LATINO-AMERICANA DE OBJETOS E TECNOLOGIAS DE APRENDIZAGEM;Workshops do Congresso Brasileiro de Informática na Educação
Análise do Feedback Fornecido por Corretores de Algoritmos com Propósito Educacional;LATIN AMERICAN CONFERENCE ON LEARNING OBJECTS (LACLO);LATIN AMERICAN CONFERENCE ON LEARNING OBJECTS AND TECHNOLOGIES
Aplicando o inventário de estilos de aprendizagem de Kolb como ferramenta de apoio ao processo de ensino aprendizagem em cursos de computação;WEI - WORKSHOP DE ENSINO DE INFORMÁTICA DO XXXIII CONGRESSO DA SOCIEDADE BRASILEIRA DE COMPUTAÇÃO;WORKSHOP SOBRE EDUCAÇÃO EM COMPUTAÇÃO
OBAA for Serious Games: uma proposta de extensão de metadados para jogos sérios;9A. CONFERÊNCIA LATINO-AMERICANA DE OBJETOS E TECNOLOGIAS DE APRENDIZAGEM - LACLO;LATIN AMERICAN CONFERENCE ON LEARNING OBJECTS AND TECHNOLOGIES
Security mechanisms to improve the availability of a Network-on-Chip;IEEE INTERNATIONAL CONFERENCE ON ELECTRONICS, CIRCUITS, AND SYSTEMS (ICECS 2013), 20.;IEEE INTERNATIONAL CONFERENCE ON ELECTRONICS, CIRCUITS AND SYSTEMS
Segurança em Redes-em-Chip: mecanismos para proteger a rede SoCIN contra ataques de negação de serviço;CONCURSO DE TESES E DISSERTAÇÕES DO SBSEG;CONCURSO DE TESES E DISSERTAÇÕES DO SBSEG
Segurança em Redes-em-Chip: mecanismos para proteger a rede SoCIN contra ataques de negação de serviço;SIMPÓSIO BRASILEIRO DE SEGURANÇA DA INFORMAÇÃO E SISTEMAS COMPUTACIONAIS (SBSEG), 14.;CONCURSO DE TESES E DISSERTAÇÕES DO SBSEG
Desenvolvimento de um sistema operacional de tempo real para um microcontrolador básico;SIMPÓSIO BRASILEIRO DE ENGENHARIA DE SISTEMAS COMPUTACIONAIS (SBESC 2013), 3.;BRAZILIAN SYMPOSIUM ON COMPUTING SYSTEM ENGINEERING
An analysis of replication and retrieval of medical image data using a database management system and a distributed file system;2013 IEEE SYMPOSIUM ON COMPUTERS AND COMMUNICATIONS (ISCC);INTERNATIONAL SYMPOSIUM ON COMPUTERS AND COMMUNICATIONS
Identity management in e-Health: A case study of web of things application using OpenID connect;2014 IEEE 16TH INTERNATIONAL CONFERENCE ON EHEALTH NETWORKING, APPLICATIONS AND SERVICES (HEALTHCOM 2014);IEEE INTERNATIONAL CONFERENCE ON E-HEALTH NETWORKING, APPLICATION & SERVICES 
Monitoramento Remoto e Contínuo de Grandezas Elétricas Utilizando Web das Coisas e Nuvem Computacional;XII BRAZILIAN SYMPOSIUM ON INFORMATION SYSTEMS;SIMPÓSIO BRASILEIRO DE SISTEMAS DE INFORMAÇÃO
Local Binary Pattern Matching for Fast Retina Map Relocalization Using the Slit-Lamp;CIARP 2014: PROGRESS IN PATTERN RECOGNITION, IMAGE ANALYSIS, COMPUTER VISION, AND APPLICATIONS;IBEROAMERICAN CONGRESS ON PATTERN RECOGNITION
A Fast Pavement Location Approach for Autonomous Car Navigation;PROGRESS IN PATTERN RECOGNITION, IMAGE ANALYSIS, COMPUTER VISION, AND APPLICATIONS: 19TH IBEROAMERICAN CONGRESS;IBEROAMERICAN CONGRESS ON PATTERN RECOGNITION
A Fast Gabor Filter Approach for Multi-Channel Texture Feature Discrimination;PROGRESS IN PATTERN RECOGNITION, IMAGE ANALYSIS, COMPUTER VISION, AND APPLICATIONS;IBEROAMERICAN CONGRESS ON PATTERN RECOGNITION
Color Skin Segmentation Based on Non-linear Distance Metrics;PROGRESS IN PATTERN RECOGNITION, IMAGE ANALYSIS, COMPUTER VISION, AND APPLICATIONS;IBEROAMERICAN CONGRESS ON PATTERN RECOGNITION
TraceBoK: Toward a Software Requirements Traceability Body of Knowledge;2016 IEEE 24TH INTERNATIONAL REQUIREMENTS ENGINEERING CONFERENCE (RE);IEEE INTERNATIONAL REQUIREMENTS ENGINEERING CONFERENCE
Estudo sobre Interoperabilidade entre Sistemas de Gestao de Identidades Federadas em Ambientes de Pesquisas Colaborativas;ANAIS DO XV SIMPÓSIO BRASILEIRO EM SEGURA0NÇA DA INFORMAÇÃO E DE SISTEMAS COMPUTACIONAIS (SBSEG 2016);WORKSHOP DE GESTÃO DE IDENTIDADES DIGITAIS
National Strategy of Identity Management to boost Brazilian Electronic Government Program;2016 XLII LATIN AMERICAN COMPUTING CONFERENCE (CLEI);Conferencia Latinoamericana de Informática
Personalização de Conteúdo e Avaliação Multicritério para em Ambiente Virtual de Aprendizagem de Código Aberto;WORKSHOP SOBRE AVALIAÇÃO E ACOMPANHAMENTO DA APRENDIZAGEM EM AMBIENTES VIRTUAIS;SIMPÓSIO BRASILEIRO DE SISTEMAS DE INFORMAÇÃO
Personalização de Conteúdo e Avaliação Multicritério para em Ambiente Virtual de Aprendizagem de Código Aberto;CONGRESSO BRASILEIRO DE INFORMÁTICA NA EDUCAÇÃO;SIMPÓSIO BRASILEIRO DE SISTEMAS DE INFORMAÇÃO
Novel method for typical load curves characterization of industrial consumers towards the smart grids;2015 18TH INTERNATIONAL CONFERENCE ON INTELLIGENT SYSTEM APPLICATION TO POWER SYSTEMS (ISAP);INTERNATIONAL CONFERENCE ON INTELLIGENT SYSTEM APPLICATIONS TO POWER SYSTEMS 
A Multicriteria approach for performance evaluation of distribution system operators;IEEE TRANSMISSION & DISTRIBUTION - LATIN AMERICA;IEEE PES Transmission & Distribution Conference and Exposition Latin America (T&DLA)
;Workshop de Informática na Escola;Workshop de Informática na Escola (WIE)
A Web-Based Tool for Semi-Automated Segmentation of Histopathological Images Using Nonlinear Color Classifiers;2016 IEEE 29TH INTERNATIONAL SYMPOSIUM ON COMPUTERBASED MEDICAL SYSTEMS (CBMS);International Symposium on Computer-Based Medical Systems
Non-rigid Fine Adjustment of Retina Maps Acquired Using a Slit-Lamp;2016 IEEE 29TH INTERNATIONAL SYMPOSIUM ON COMPUTERBASED MEDICAL SYSTEMS (CBMS);International Symposium on Computer-Based Medical Systems
Real-Time Fine-Tuned Adjustment of Fiber Tracking Parameters;2014 IEEE 27TH INTERNATIONAL SYMPOSIUM ON COMPUTERBASED MEDICAL SYSTEMS (CBMS);International Symposium on Computer-Based Medical Systems
Robust Visual Tracking for Retinal Mapping in Computer-Assisted Slit-Lamp Imaging;2014 IEEE 27TH INTERNATIONAL SYMPOSIUM ON COMPUTERBASED MEDICAL SYSTEMS (CBMS);International Symposium on Computer-Based Medical Systems
Lite Maker: Um Fab Lab móvel para aplicação de atividades mão na massa com estudantes do ensino básico;WORSHOP DE INFORM[ÁTICA NA ESCOLA;WORKSHOP DE INFORMÁTICA NA ESCOLA
An alternative communication tool in cases of aphasia;15ª CONFERÊNCIA IBÉRICA DE SISTEMAS E TECNOLOGIAS DE INFORMAÇÃO;Iberian Conference on Information Systems and Technologies
Multiple-Volume Volumetric Rendering Using Graphic Accelerator;XLIV CONFERÊNCIA LATINO-AMERICANA DE INFORMÁTICA;Conferencia Latinoamericana de Informática
Usability study of a brain-computer interface applied to people with cerebral palsy;Proc. of th 10 Internacional Conference PErvasive Technologies Related to Assistive Environments PEtra;ACM International Conference on PErvasive Technologies Related to Assistive Environments
Explorando tecnologias e recursos para a monitoração de odores ambientais;Anais III SIMPÓSIO CIÊNCIA E TECNOLOGIA AMBIENTAL;SIMPÓSIO CIÊNCIA E TECNOLOGIA AMBIENTAL
Enseñanza de Conceptos de Vibraciones Mecánicas utilizando la simulación computacional apoyada en la plataforma Scilab / Matlab;Memórias do 11no. Congreso Internacional de Educación Superior Universidad 2018;CONGRESO INTERNACIONAL DE EDUCACIÓN SUPERIOR
Teaching Programming Concepts Using Educational Robotics, Supported by the Arduino Platform: An Application in the Industrial Computer Learning Course;CLEI - LACLO - XIII Latin American Conference on Learning Technologies;Latin American Conference on Learning Objects and Technologies
An alternative communication tool in cases of aphasia;Anais da 15ª Conferência Ibérica de Sistemas e Tecnologias de Informação;IBERIAN CONFERENCE ON INFORMATION SYSTEMS AND TECHNOLOGIES
