Nome Trabalho;Nome Evento Cadastrado;Nome Evento Canônico
Payload XL: a new fault-tolerant reconfigurable computing platform for CubeSats;IV IAA Latin America Cubesat Workshop; IAA LATIN AMERICA CUBESAT WORKSHOP
A Fault-Tolerant Reconfigurable Platform for Communication Modules of Satellites;2019 IEEE Latin American Test Symposium (LATS);Ieee Latin American Test Workshop
Ludic practices to support the development of software engineering educational games: a systematic review;XLIV Conferência Latino-americana de Informática - CLEI;Conferencia Latinoamericana de Informática
Providing a cloud-based smart meter solution to control and monitor electrical quantities of industrial machines;2017 IEEE 13th International Conference on Wireless and Mobile Computing, Networking and Communications (WiMob);IEEE International Conference on Wireless and Mobile Computing, Networking and Communications
Mecanismo de Verificação de Integridade de Software Baseado em BIOS UEFI;Anais do XXXVI Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos (SBRC);Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos
Providing a Dynamic Milk-Run Vehicle Routing Using Vehicular Ad hoc Networks;Proceedings of the 9th ACM Symposium on Design and Analysis of Intelligent Vehicular Networks and Applications - DIVANet &amp,apos,19;ACM Symposium on Development and Analysis of Intelligent Vehicular Networks and Applications
Effective Ant Colony Optimization Solution for the Brazilian Family Health Team Scheduling Problem;2018 IEEE 30th International Conference on Tools with Artificial Intelligence (ICTAI);IEEE International Conference on Tools with Artificial Intelligence
Intelligent system for automatic performance evaluation of distribution system operators;2017 19th International Conference on Intelligent System Application to Power Systems (ISAP);International Conference on Intelligent System Applications to Power Systems
Sistema de gerenciamento de energia elétrica utilizando simulação termo energética e algoritmos genéticos: uma aplicação voltada aos edifícios inteligentes;Encuentro Regional Iberoamericano del CIGRE;ENCUENTRO REGIONAL IBEROAMERICANO DEL CIGRE
Análise multicritérios aplicada à avaliação de desempenho de operadores de sistemas de transmissão;13o Congreso Interamericano de Computación aplicada a la industria de procesos;CONGRESO INTERAMERICANO DE COMPUTACIÓN APLICADA A LA INDUSTRIA DE PROCESOS
Probabilidade de errro humano e fatores que modelam o desempenho de operadores em centros de controle de sistemas elétricos;13o Congreso Interamericano de Computación aplicada a la industria de procesos;CONGRESO INTERAMERICANO DE COMPUTACIÓN APLICADA A LA INDUSTRIA DE PROCESOS
Diferenciação de perfis de curva de carga para identificação de perdas não técnicas de consumidores comerciais utlizando mineração de dados e aprendizado de máquina;Escola Regional de Banco de Dados;ESCOLA REGIONAL DE BANCO DE DADOS
Uma Análise de Desempenho Criptográfico de Algoritmos Implementados no Microcontrolador MSP430F6749 Utilizando o Protocolo OSGP;IX Congresso Sul Brasileiro de Computação;CONGRESSO SUL BRASILEIRO DE COMPUTAÇÃO
An architecture for delivering graphical web applications in constrained IoT devices;IX Brazilian Symposium on Computing Systems Engineering;Brazilian Symposium on Computing System Engineering
Order Picking Operation and Warehouse Layout Optimization in a Textile Industry by using Genetic Algorithm;2nd South American International Conference in Industrial Engineering and Operations Management;International Conference on Industrial Engineering and Operations Management
Uma solução de confirmação para autenticação em ambientes ubíquos baseada na localização do usuário;Escola Regional de Redes de Computadores;ESCOLA REGIONAL DE REDES DE COMPUTADORES
Novel Lie Speech Classification using Voice Stress;ICAART - Conferência Internacional sobre Agentes e Inteligência Artificial;International Conference on Agents and Artificial Intelligence
Um mecanismo baseado em sensibilidade à situação para otimizar a transmissão de dados de aplicações de sensoriamento urbano;Anais do Simpo sio Brasileiro de Computac a o Ubi qua e Pervasiva (SBCUP);Simpósio Brasileiro de Computação Ubíqua e Pervasiva
The classification of algorithms for Privacy Management in Ubiquitous Environments;Anais do Simpo sio Brasileiro de Computac a o Ubi qua e Pervasiva (SBCUP);Simpósio Brasileiro de Computação Ubíqua e Pervasiva
Uma solução de confirmação para autenticação em ambientes ubíquos baseada na localização do usuário.;Escola Regional de Redes de Computadores ERRC 2017;ESCOLA REGIONAL DE REDES DE COMPUTADORES
SISEDU - Uma proposta de gerenciamento inteligente de acessos em ambientes educacionais;ENIT / INOVA;CONGRESSO NACIONAL DE INOVAÇÃO E TECNOLOGIA
Uma Avaliação de Algoritmos para a Classificação de Perfis Evolutivos em Ambientes Inteligentes;IX Congresso Sul Brasileiro de Computação (SULCOMP 2018);CONGRESSO SUL BRASILEIRO DE COMPUTAÇÃO
Uma Análise de Desempenho Criptográfico de Algoritmos Implementados no Microcontrolador MSP430F6749 Utilizando o Protocolo OSGP;IX Congresso Sul Brasileiro de Computação (SULCOMP 2018);CONGRESSO SUL BRASILEIRO DE COMPUTAÇÃO
Experimental Analysis of the Scalability of Ethereum Blockchain in a Private Network;I Workshop em Blockchain: Teoria, Tecnologias e Aplicações;WORKSHOP EM BLOCKCHAIN: TEORIA, TECNOLOGIAS E APLICAÇÕES
Development of an IoT Architecture for an Electronic Cane;14ª Conferência Ibérica de Sistemas e Tecnologias de Informação;IBERIAN CONFERENCE ON INFORMATION SYSTEMS AND TECHNOLOGIES
PRISER: Sistema para Gerenciamento de Notificações com Suporte a Privacidade de Dados;SBCUP - 11º Simpósio Brasileiro de Computação Ubíqua e Pervasiva;Simpósio Brasileiro de Computação Ubíqua e Pervasiva
Multi-device Notifications: a comparison between MQTT and CoAP;Thirteenth International Conference on Mobile Ubiquitous Computing, Systems, Services and Technologies UBICOMM 2019;IARIA International Conference on Mobile Ubiquitous Computing, Systems, Services and Technologies
A Multi-Agent Based Architecture for Internet of Things Environments;Congresso ICE UBI 2019;CONGRESSO INTERNACIONAL DE ENGENHARIA
Energy-Based Voice Activity Detection Algorithm using Gaussian and Cauchy's Kernels;2018 IEEE 9th Latin American Symposium on Circuits &amp, Systems (LASCAS);IEEE Latin American Symposium on Circuits and Systems
PRISER: Sistema para Gerenciamento de Notificações com Suporte a Privacidade de Dados;ANAIS DO SIMPO&amp,#769,SIO BRASILEIRO DE COMPUTAC&amp,#807,A&amp,#771,O UBI&amp,#769,QUA E PERVASIVA (SBCUP);Simpósio Brasileiro de Computação Ubíqua e Pervasiva
Segmentation, Detection and Classification of Cell Nuclei on Oral Cytology Samples Stained with Papanicolaou;Proceedings of the IEEE 33rd International Symposium on Computer Based Medical Systems (CBMS);International Symposium on Computer-Based Medical Systems
A Novel Approach on Segmentation of AgNOR-Stained Cytology Images Using Deep Learning;Proceedings of the IEEE 33rd International Symposium on Computer Based Medical Systems (CBMS);International Symposium on Computer-Based Medical Systems
Swinging Door Trending Compression Algorithm for IoT Environments;Anais Estendidos do Simpósio Brasileiro de Engenharia de Sistemas Computacionais (SBESC);Brazilian Symposium on Computing System Engineering
Omniconn: An Architecture for Heterogeneous Devices Interoperability on Industrial Internet of Things;Advances on P2P, Parallel, Grid, Cloud and Internet Computing,;International Conference on P2P, Parallel, Grid, Cloud and Internet Computing
Unificação de Dados de Saúde Através do Uso de Blockchain e Smart Contracts;Anais da Escola Regional de Banco de Dados (ERBD);ESCOLA REGIONAL DE BANCO DE DADOS
