Título Cadastrado;Título Canônico
A relevância dos Dashboards para a gestão da saúde na pandemia causada pelo COVID-19 / The relevance of Dashboards for health management in the pandemic caused by COVID-19;A relevância dos Dashboards para a gestão da saúde na pandemia causada pelo COVID-19
Utilização de BLE para localização e notificação com base na privacidade de dados;PRISER - Utilização de BLE para localização e notificações com base na privacidade de dados
PRISER - Utilização de BLE para localização e notificações com base na privacidade de dados.;PRISER - Utilização de BLE para localização e notificações com base na privacidade de dados
