SIGLA;Nome Padrão;Qualis 2016
FSKD;International Conference on Fuzzy Systems and Knowledge Discovery;B1
GRAPP;International Conference on Computer Graphics Theory and Applications;B1
ICEBE;IEEE International Conference on e-Business Engineering;B1
ICM;International Conference on Microelectronics;B1
ICSOFT;International Conference on Software Technologies;B1
ISDA;International Conference on Intelligent Systems Design and Applications;B1
ISPDC;International Symposium on Parallel and Distributed Computing;B1
IVAPP;International Conference on Information Visualization Theory and Applications;B1
MEDHOCNET;oc-Net - Mediterranean Ad Hoc Networking Workshop;B1
NTMS;IFIP International Conference on New Technologies, Mobility and Security;B1
PDCAT;International Conference on Parallel and Distributed Computing, Applications and Technologies;B1
3DTV;3DTV Conference: The True Vision-Capture, Transmission and Display of 3D Video;B1
ADHOC-NOW;OW - International Conference on Ad-Hoc Networks and Wireless;B1
ECCTD;European Conference on Circuit Theory and Design;B1
EUROITV;European Conference on Interactive TV and Video;B1
ICISS;International Conference on Information Systems Security;B1
KESAMSTA;MSTA - International KES Conference on Agents and Multi-Agent Systems: Technologies and Applications;B1
RAMS;Annual Reliability and Maintainability Symposium;B1
CIT;IEEE International Conference on Computer and Information Technology;B1
ISMIS;International Symposium on Methodologies for Intelligent Systems;B1
ISEUD;UD - International Symposium on End-User Development;B1
KES;International Conference on Knowledge-Based and Intelligent Information & Engineering Systems;B1
HVC;International Haifa Verification Conference;B1
ECC;European Control Conference;B2
ITSC;IEEE International Conference on Intelligent Transportation Systems;B2
COGSCI;Annual Meeting of the Cognitive Science Society;B2
ISBI;IEEE International Symposium on Biomedical Imaging;B2
ICCPS;International Conference on Cyber-Physical Systems;B2
CCNC;Annual IEEE Consumer Communications & Networking Conference;B2
COSN;Conference on Online Social Networks;B2
IAS;Industry Applications Society Annual Meeting;B2
AMIA;Annual Symposium of the American Medical Informatics Association;B2
WiSec;ACM Conference on Security & Privacy in Wireless and Mobile Networks;B2
BEDS;ACM International Conference on Distributed Event-Based Systems;B2
ETFA;IEEE International Conference on Emerging Technologies and Factory Automation;B2
IGARSS;IEEE International Geoscience and Remote Sensing Symposium;B2
PSCC;Power Systems Computation Conference;B2
HEALTHCOM;IEEE International Conference on E-health Networking, Application & Services;B2
IJCAR;International Joint Conference on Automated Reasoning;B2
SBES;Brazilian Symposium on Software Engineering;B2
VRST;ACM Symposium on Virtual Reality Software and Technology;B2
ICEIS;International Conference on Enterprise Information Systems;B2
IFM;International Conference on Integrated Formal Methods;B2
CC;International Conference on Compiler Construction;B2
ISIE;IEEE International Symposium on Industrial Electronics;B2
POST;International Conference on Principles of Security and Trust;B2
ISW;Information Security Conference;B2
DSAI;International Conference on Software Development for Enhancing Accessibility and Fighting Info-exclusion;B2
MOBILECLOUD;International Conference on Mobile Cloud, Computing and Service Engineering;B2
SPIN;International SPIN symposium on Model Checking of Software;B2
UAHCI;International Conference Universal Access in Human-Computer Interaction;B2
VAMR;International Conference on Virtual, Augmented and Mixed Reality;B2
AC-HCI;International Conference on Augmented Cognition;B2
ICCIC;International Conference on Computational Intelligence and Computing Research;B2
QoSA;International ACM Sigsoft Conference on the Quality of Software Architectures;B2
BRACIS;Brazilian Conference on Intelligent System;B2
SYSTOL;Conference on Control and Fault-Tolerant Systems;B2
ICINCO;International Conference on Informatics in Control, Automation and Robotics;B2
MOBILESOFT;International Conference on Mobile Software Engineering and Systems;B2
WEBIST;International Conference on Web Information Systems and Technologies;B2
IDEAS;International Database Engineering and Applications Symposium;B2
TABLEAUX;International Conference on Automated Reasoning with Analytic Tableaux and Related Methods;B2
GROUP;International Conference on Supporting Group Work;B2
BCB;ACM International Conference on Bioinformatics and Computational Biology and Health Informatics;B2
CIBCB;IEEE Conference on Computational Intelligence in Bioinformatics and Computational Biology;B2
IWBBIO;International Work-Conference on Bioinformatics and Biomedical Engineering;B2
W2GIS;International Symposium Web and Wireless Geographical Information Systems;B2
SVR;Symposium on Virtual and Augmented Reality;B2
WEBMEDIA;Brazilian Symposium on Multimedia and the Web;B2
SBCCI;Symposium on Integrated Circuits and Systems Design;B2
SBRC;Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos;B2
SBBD;Simpósio Brasileiro de Banco de Dados;B2
HCI;International Conference on Human-Computer Interaction;B2
EWSN;European Conference on Wireless Sensor Networks;B2
FORMATS;International Conference on Formal Modeling and Analysis of Timed Systems;B2
ICSR;International Conference on Software Reuse;B2
ICTIR;Conference on the Theory of Information Retrieval;B2
RACS;Conference on Research in Adaptive and Convergent Systems;B2
ASYNC;IEEE International Symposium on Asynchronous Circuits and Systems;B2
DAIS;International Conference on Distributed Applications and Interoperable Systems;B2
EGOVIS;International Conference on Electronic Government and the Information Systems Perspective;B2
ICGTT;International Conference on Graph Transformation;B2
IDEAL;International Conference on Intelligent Data Engineering and Automated Learning;B2
KESW;International Conference on Knowledge Engineering and Semantic Web;B2
MODELSWARD;International Conference on Model-Driven Engineering and Software Development;B2
MS;IEEE International Conference on Mobile Services;B2
SSPR;International Workshop on Structural and Syntactic Pattern Recognition;B2
TAP;International Conference on Tests and Proofs;B2
DH;Digital Heritage;B2
ICCE;IEEE International Conference on Consumer Electronics;B2
ICEGOV;International Conference on Theory and Practice of Eletronic Governance;B2
JCSSE;International Joint Conference on Computer Science and Software Engineering;B2
MSN;International Conference on Mobile Ad-Hoc and Sensor Networks;B2
NFV-SDN;IEEE Conference on Network Function Virtualization and Software Defined Networks;B2
PRIMA;nternational Conference on Principles and Practice of Multi-Agent Systems;B2
WOCC;Wireless and Optical Communications Conference;B2
ICTAC;International Colloquium on Theoretical Aspects of Computing;B2
ICVR;International Conference on Virtual Rehabilitation;B2
LASCAS;IEEE Latin American Symposium on Circuits and Systems;B2
SBSI;Simpósio Brasileiro de Sistemas de Informação;B2
IHC;Simpósio Brasileiro sobre Fatores Humanos em Sistemas Computacionais;B2
SBESC;Brazilian Symposium on Computing System Engineering;B2
SBGAMES;Simpósio Brasileiro de Jogos e Entretenimento Digital;B2
CISRC;Cyber Security and Information Intelligence Research Workshop;B2
DCAI;International Symposium on Distributed Computing and Artificial Intelligence;B2
GreenCom;IEEE International Conference on Green Computing and Communications;B2
HIS;International Conference on Hybrid Intelligent Systems;B2
HM;International Workshop on Hybrid Metaheuristics;B2
IbPRIA;Iberian Conference on Pattern Recognition and Image Analysis;B2
ICTSS;IFIP International Conference on Testing Software and Systems;B2
IPAW;International Provenance and Annotation Workshop;B2
IPMU;International Conference on Information Processing and Management of Uncertainty in Knowledge-Based Systems;B2
ISGTEUROPE;Europe - IEEE International Conference on Innovative Smart Grid Technologies;B2
ITHET;International Conference on Information Technology Based Higher Education and Training;B2
MCS;International Workshop on Multiple Classifier Systems Multiple Classifier Systems;B2
MOBIWAC;ACM International Symposium on Mobility Management and Wireless Access;B2
NABIC;World Congress on Nature and Biologically Inspired Computing;B2
ROSE;IEEE International Symposium on Robotic and Sensors Environments;B2
SCSM;International Conference on Social Computing and Social Media;B2
TAROS;Conference Towards Autonomous Robotics Systems;B2
AICCSA;ACS/IEEE International Conference on Computer Systems and Applications;B2
BIH;International Conference on Brain Informatics and Health;B2
BIR;International Conferences on Perspectives in Business Informatics Research;B2
CITS;International Conference on Computer, Information, and Telecommunication Systems;B2
CompSysTech;International Conference on Computer Systems and Technologies;B2
DIVANET;ACM Symposium on Development and Analysis of Intelligent Vehicular Networks and Applications;B2
ENASE;International Conference on Evaluation of Novel Approaches to Software Engineering;B2
GIIS;Global Information Infrastructure and Networking Symposium;B2
ICCL2;International Conference on Computational Logistics;B2
ICDIM;International Conference on Digital Information Management;B2
ICITS;International Conference on Information Theoretic Security;B2
ISIC;International Symposium on Integrated Circuits;B2
JURIX;International Conference on Legal Knowledge and Information Systems;B2
MEDES;International Conference on Management of Emergent Digital EcoSystems;B2
NOF;International Conference on Network of the Future;B2
PLOP;Conference on Pattern Languages of Programs;B2
SIGDOC;ACM International Conference on Design of Communication;B2
SISAP;nternational Conference on Similarity Search and Applications;B2
UCAMI;International Conference on Ubiquitous Computing and Ambient Intelligence;B2
UIC;IEEE International Conference on Ubiquitous Intelligence and Computing;B2
VMV;Vision, Modeling & Visualization;B2
WALCOM;International Workshop on Algorithms and Computation;B2
COCOA;International Conference on Combinatorial Optimization and Applications;B2
DHM;International Conference on Digital Human Modeling - Applications in Health, Safety, Ergonomics and Risk Management;B2
EAIS;IEEE Conference on Evolving and Adaptive Intelligent Systems;B2
EUVIP;European Workshop on Visual Information Processing;B2
GPC;International Conference on Grid And Pervasive Computing;B2
ISSPIT;IEEE International Symposium on Signal Processing and Information Technology;B2
IWOCA;International Workshop on Combinatorial Algorithms;B2
LANMAN;IEEE International Symposium on Local and Metropolitan Area Networks;B2
LATW;Latin American Test Workshop;B2
MATES;German Conference on Multiagent System Technologies;B2
MCPR2;Mexican Conference on Pattern Recognition;B2
MTSR;International Conference on Metadata and Semantics Research;B2
OSS;International Conference on Open Source Systems;B2
PROMISE;International Conference on Predictive Models and Data Analytics in Software Engineering;B2
RSP;IEEE International Symposium on Rapid System Prototyping;B2
SIYSTOR;ACM International on Systems and Storage Conference;B2
WAOA;Workshop on Approximation and Online Algorithms;B2
FACS;International Conference on Formal Aspects of Component Software;B2
IDC;International Symposium on Intelligent Distributed Computing;B2
ACRI;International conference on Cellular Automata for Research and Industry;B2
AGERE;Workshop on Programming based on Actors, Agents, and Decentralized Control;B2
AICT;International Conference on Application of Information and Communication Technologies;B2
AIML;Advances in Modal Logic;B2
CANDAR;International Symposium on Computing and Networking;B2
CGI;Computer Graphics International Conference;B2
DILS;International Conference on Data Integration in Life Sciences;B2
ENIC;European Network Intelligence Conference;B2
FDL;Forum on Specification and Design Languages;B2
FOSD;International Workshop on Feature-Oriented Software Development;B2
ICAT;International Conference on Artificial Reality and Telexistence;B2
IGIC;IEEE International Games Innovation Conference;B2
LATINCOM;IEEE Latin-American Conference on Communications;B2
PRIB;IAPR International Conference on Pattern Recognition in Bioinformatics;B2
Q2SWinet;ACM Symposium on QoS and Security for Wireless and Mobile Networks;B2
QUATIC;International Conference on Quality of Information and Communications Technology;B2
AGILEGIS;Conference on Geographic Information Science;B2
CLEF;Conference and Labs of the Evaluation Forum;B2
ECCE;European Conference on Cognitive Ergonomics;B2
GECON;International Conference on Economics of Grids, Clouds, Systems and Services;B2
ICISO;International Conference on Informatics and Semiotics in Organisations;B2
ILP;International Conference on Inductive Logic Programming;B2
OR;International Conference on Operations Research;B2
SIMULTECH;International Conference on Simulation and Modeling Methodologies, Technologies and Applications;B2
DESE;International Conference on Developments in eSystems Engineering;B2
EUMAS;European Conference on Multi-Agent Systems;B2
FG;Conference on Formal Grammar;B2
IBERAMIA;Ibero-American Conference on Artificial Intelligence;B2
IFSA;World Congress of International Fuzzy Systems Association;B2
ISAmI;International Symposium on Ambient Intelligence;B2
MDAI;International Conference on Modeling Decisions for Artificial Intelligence;B2
NAFIPS;Annual Conference of the North American Fuzzy Information Processing Society;B2
SOCC;IEEE International System-on-Chip Conference;B2
VECPAR;International Meeting on High Performance Computing for Computational Science;B2
DARS;International Symposium on Distributed Autonomous Robotic Systems;B2
EUC;IEEE/IFIP International Conferences on Embedded and Ubiquitous Computing;B2
GPCE;ACM International Conference on Generative Programming: Concepts and Experiences;B2
LCTRTS;ACM SIGPLAN/SIGBED Conference on Languages, Compilers, and Tools for Real-Time Systems;B2
NEW2AN;International Conference on Internet of Things, Smart Spaces, and Next Generation Networks and Systems;B2
PDES;IFAC International Conference on Programmable Devices and Embedded Systems;B2
PE-WASUN;ACM International Symposium on Performance Evaluation of Wireless Ad Hoc, Sensor, and Ubiquitous Networks;B2
WSKS;World Summit on the Kowledge Society;B2
ICUAS;International Conference on Unmanned Aircraft Systems;B3
WF-IoT;IEEE World Forum on Internet of Things;B3
EUROHAPTICS;Eurohaptics;B3
ICIT;IEEE International Conference on Industrial Technology;B3
T&D;IEEE/PES Transmission and Distribution Conference and Exposition;B3
ISER;International Symposium on Experimental Robotics;B3
SEGAH;International Conference on Serious Games and Applications for Health;B3
MED;Mediterranean Conference on Control and Automation;B3
SENSORS;IEEE Sensors;B3
SAICC;Science and Information Conference;B3
ICTON;International Conference on Transparent Optical Networks;B3
MEMEA;IEEE International Symposium on Medical Measurements and Applications;B3
IRMMW;International Conference on Infrared, Millimeter, and Terahertz Waves;B3
SAM;Sensor Array and Multichannel Signal Processing Workshop;B3
CENTERIS;Conference on ENTERprise Information Systems;B3
WIE;Workshop de Informática na Escola;B3
ISBRA;International Symposium on Bioinformatics Research and Applications;B3
WEI;Workshop sobre Educação em Computação;B3
SBMF;Brazilian Symposium on Formal Methods;B3
SBLP;Brazilian Symposium on Programming Languages;B3
BDCLOUD;International Conference on Big Data and Cloud Computing;B3
DSAA;IEEE International Conference on Data Science and Advanced Analytics;B3
ICCEBerlin;IEEE International Conference on Consumer Electronics Berlin;B3
ICUMT;International Conference on Ultra Modern Telecommunications;B3
ISC2;IEEE International Smart Cities Conference;B3
LATINCRYPT;International Conference on Cryptology and Information Security in Latin America;B3
TVX;International Conference on Interactive Experiences for Television and Online Video;B3
ISSI;International Society of Scientometrics and Informetrics Conference;B3
IWBF;International Workshop on Biometrics and Forensics;B3
QRS;IEEE International Conference on Software Quality, Reliability and Security;B3
INTECH;International Conference on Innovative Computing Technology;B3
ISCE;IEEE International Symposium on Consumer Electronics;B3
LAW;Linguistic Annotation Workshop;B3
NETWORKS;International Telecommunications Network Strategy and Planning Symposium;B3
RADECS;European Conference on Radiation Effects on Components and Systems;B3
SPACE;International Conference on Security, Privacy, and Applied Cryptography Engineering;B3
EDCC;European Dependable Computing Conference;B3
CDVE;International Conference on Cooperative Design, Visualization, and Engineering;B3
PROPOR;International Conference on Computational Processing of the Portuguese Language;B3
SBCARS;Brazilian Symposium on Components, Architectures and Reuse Software;B3
LARS;IEEE Latin American Robotics Symposium;B3
CRIWG;International Conference on Collaboration and Technology;B3
GEOINFO;Brazilian Symposium on GeoInformatics;B3
BSB;Brazilian Symposium on Bioinformatics;B3
SBSeg;Simpósio Brasileiro em Segurança da Informação e de Sistemas Computacionais;B3
SBQS;Simpósio Brasileiro de Qualidade de Software;B3
STIL;Brazilian Symposium in Information and Human Language Technology;B3
SBSC;Simpósio Brasileiro de Sistemas Colaborativos;B3
SBCM;Simpósio Brasileiro de Computação Musical;B3
WSCAD;Simpósio em Sistemas Computacionais de Alto Desempenho;B3
DS;International Conference on Discovery Science;B3
ICIST;International Conference on Information and Software Technologies;B3
ICLA;Indian Conference on Logic and its Applications;B3
SMARTGREENS;International Conference on Smart Grids and Green ICT Systems;B3
WUWNET;International Conference on UnderWater Networks and Systems;B3
BIGMM;IEEE International Conference on Multimedia Big Data;B3
DEPCOS;ELCOMEX - International Conference on Dependability and Complex Systems;B3
EANN;Internation Conference on Engineering Applications of Neural Networks;B3
ECWeb;International Conference on Electronic Commerce and Web Technologies;B3
EuroPloP;European Conference on Pattern Languages of Programs;B3
FOGA;ACM Conference on Foundations of Genetic Algorithms;B3
IDCS;International Conference on Internet and Distributed Computing Systems;B3
IEAAIE;International Conference on Industrial Engineering & Other Applications of Appled Intelligence Systems;B3
SOC;International Symposium on System-on-Chip;B3
TLCA;International Conference on Typed Lambda Calculi and Applications;B3
CLEI;Conferencia Latinoamericana de Informática;B3
EXP.AT;Experiment@ International Conference;B3
IEEENANO;International Conference on Nanotechnology;B3
PATMOS;International Workshop on Power and Timing Modeling, Optimization and Simulation;B3
SENSORNETS;International Conference on Sensor Networks;B3
SIIE;Simpósio Internacional de Informática Educatica;B3
SPA;Signal Processing: Algorithms, Architectures, Arrangements, and Applications Conference;B3
SSIAI;Southwest Symposium on Image Analysis and Interpretation;B3
WRLA;International Workshop on Rewriting Logic and its Applications;B3
ISCOPT;International Symposium on Combinatorial Optimization;B3
LADC;Latin-American Symposium on Dependable Computing;B3
LACLO;Latin American Conference on Learning Objects and Technologies;B3
COLOGNETWENTE;Cologne-Twente Workshop on Graphs and Combinatorial Optimization;B3
IWT;International Workshop on Telecommunications;B3
SCCC;International Conference of the Chilean Computer Science Society;B3
CASA;Conference on Computer Animation and Social Agents;B3
CICS;Symposium on Computational Intelligence in Cyber Security;B3
EATIS;Euro American Conference on Telematics and Information Systems;B3
IESS;IFIP International Embedded Systems Symposium;B3
IFUZZY;International Conference on Fuzzy Theory and its Applications;B3
ISDEVEL;International Conference on Information Systems Development;B3
KMO;International Conference on Knowledge Management in Organizations;B3
CADGRAPHICS;International Conference on Computer-Aided Design and Computer Graphics;B3
CICOMMS;Symposium on Computational Intelligence for Communication Systems and Networks;B3
COMPIMAGE;International Symposium CompIMAGE;B3
EVA;Electronic Visualisation and the Arts;B3
ICAIS;International Conference on Adaptive and Intelligent Systems;B3
IHM;Conférence Francophone sur l’Interaction Homme-Machine;B3
IJCCI;International Joint Conference on Computational Intelligence;B3
MOBILWARE;International Conference on MOBILe Wireless MiddleWARE, Operating Systems, and Applications;B3
LAGOS;Latin-American Algorithms, Graphs and Optimization Symposium;B3
ONTOBRAS;Brazilian Seminar on Ontologies;B3
CEDEM;International Conference for E-Democracy and Open Government;B3
IMS3TW;Annual International Mixed-Signals, Sensors and Systems Test Workshop;B3
LANOMS;Latin-American Network Operations and Management Symposium;B3
STAG;Eurographics Italian Chapter Conference;B3
DMS;International Conference on Distributed Multimedia Systems;B3
ISTAR;International i*Workshop;B3
WCCI;IEEE World Congress on Computational Intelligence;B3
WPerformance;Workshop em Desempenho de Sistemas Computacionais e de Comunicação;B3
HCIST;International Conference on Health and Social Care Information Systems and Technologies;B3
WSCG;International Conference in Central Europe on Computer Graphics and Visualization and Computer Vision;B3
FOIS;International Conference on Formal Ontology in Information Systems;B3
GAMEON;Annual Simulation and AI in Games Conference;B3
IIR;Italian Information Retrieval Workshop;B3
LSFA;Workshop on Logical and Semantic Frameworks, with Applications;B3
HCSE;International Working Conference on Human-Centred Software Engineering;B3
LA-WEB;Latin American Web Congress;B3
LANC;Latin American Networking Conference;B3
PGM;International Conference on Probabilistic Graphical Models;B3
SustainIT;Conference on Sustainable Internet and ICT for Sustainability;B3
CVPRW;IEEE Conference on Computer Vision and Pattern Recognition Workshops;B4
PerComW;IEEE International Conference on Pervasive Computing and Communication Workshops;B4
AINAW;IEEE International Conference on Advanced Information Networking and Applications Workshops;B4
ISCRAM;International Conference on Information Systems for Crisis Response and Management;B4
AISEC;ACM Workshop on Artificial Intelligence and Security;B4
IPDPSW;IEEE International Parallel & Distributed Processing Symposium Workshops;B4
ICCVE;International Conference on Connected Vehicles & Exp;B4
MTD;International Workshop on Managing Technical Debt;B4
SBST;International Workshop on Search-Based Software Testing;B4
SEM;Joint Conference on Lexical and Computational Semantics;B4
WER;Workshop on Requirements Engineering;B4
GCCE;IEEE Global Conference on Consumer Electronics;B4
GREENS;International Workshop on Green and Sustainable Software;B4
ICHQP;IEEE International Conference on Harmonics and Power Quality;B4
ISSREW;IEEE International Symposium on Software Reliability Engineering Workshops;B4
MobiArch;Workshop on Mobility in the Evolving Internet Architecture;B4
WNUT;Workshop on Noisy User-generated Text;B4
SEMISH;Seminário Integrado de Software e Hardware;B4
ECSAW;European Conference on Software Architecture Workshops;B4
MISE;Workshop on Modeling in Software Engineering;B4
SET;Software Engineering Track;B4
21CW;IEEE Conference on Norbert Wiener in the 21st Century;B4
BIGDSE;IEEE/ACM International Workshop on Big Data Software Engineering;B4
BRC;ISSNIP Biosignals and Biorobotics Conference;B4
CIVTS;IEEE Symposium on Computational Intelligence in Vehicles and Transportation Systems;B4
CSI-SE;E - International Workshop on Crowdsourcing in Software Engineering;B4
EuroParW;Parallel Processing Workshops;B4
NFmcp;International Workshop on New Frontiers in Mining Complex Patterns;B4
SESoS;International Workshop on Software Engineering for Systems-of-Systems;B4
T&DLA;IEEE PES Transmission & Distribution Conference and Exposition Latin America;B4
WORKS;Workshop on Workflows in Support of Large-Scale Science;B4
3DOR;Eurographics Workshop on 3D Object Retrieval;B4
BigSpatial;ACM SIGSPATIAL International Workshop on Analytics for Big Geospatial Data;B4
DroNet;Workshop on Micro Aerial Vehicle Networks, Systems, and Applications for Civilian Use;B4
FOCI;IEEE Symposium on Foundations of Computational Intelligence;B4
IWSECO;International Workshop on Software Ecosystems;B4
MABS;International Workshop on Multi-Agent Based Simulation;B4
WETSOM;International Workshop on Emerging Trends in Software Metrics;B4
APCASE;Asia-Pacific Conference on Computer Aided System Engineering;B4
CLOUDTECH;International Conference on Cloud Computing Technologies and Applications;B4
ICCW;IEEE International Conference on Communications Workshops;B4
ICSEW;International Conference on Software Engineering Workshops;B4
INDUSCON;International Conference on Industry Applications;B4
MWE;Workshop on Multiword Expressions;B4
PLATEAU;Workshop on Evaluation and Usability of Programming Languages and Tools;B4
RELAW;International Workshop on Requirements Engineering and Law;B4
SBMICRO;Symposium on Microelectronics Technology and Devices;B4
SDIEV;IEEE Symposium on Differential Evolution;B4
CIMSIVP;IEEE Symposium on Computational Intelligence for Multimedia, Signal and Vision Processing;B4
CSC;SIAM Workshop on Combinatorial Scientific Computing;B4
DCCW;ACM Workshop on Distributed Cloud Computing;B4
FTXS;Workshop on Fault Tolerance for HPC at eXtreme Scale;B4
GAS;International Workshop on Games and Software Engineering;B4
ICERI;International Conference of Education, Research and Innovation;B4
IWPSE;International Workshop on Principles of Software Evolution;B4
M4IOT;Workshop on Middleware for Context-Aware Applications in the IoT;B4
PESOS;International Workshop on Principles of Engineering Service-Oriented and Cloud Systems;B4
RePa;IEEE International Workshop on Requirements Patterns;B4
SESCPS;International Workshop on Software Engineering for Smart Cyber-Physical Systems;B4
SUMMERSIM;Summer Simulation Multi-conference;B4
3DCVE;International Workshop on Collaborative Virtual Environments;B4
ARMS-CC;International Workshop on Adaptive Resource Management and Scheduling for Cloud Computing;B4
CLIHC;Latin American Conference on Human Computer Interaction;B4
COTB;Computer on The Beach;B4
DSNW;IEEE International Conference on Dependable Systems and Networks Workshops;B4
ERLANG;ACM SIGPLAN Erlang Workshop;B4
EXAMPI;Workshop on Exascale MPI;B4
IC3K;International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management;B4
ICCCC;International Conference on Computers Communications and Control;B4
IEEEIA;IEEE Symposium on Intelligent Agents;B4
ISAP;International Conference on Intelligent System Applications to Power Systems;B4
SBACPADW;International Symposium on Computer Architecture and High Performance Computing Workshop;B4
SEARIS;Workshop on Software Engineering and Architectures for Realtime Interactive Systems;B4
SBPO;Simpósio Brasileiro de Pesquisa Operacional;B4
CONTECSI;International Conference on Information Systems and Technology Management;B4
SeCoGis;International Workshop on Semantic and Conceptual Issues in Geographic Information Systems;B4
CL4LC;Workshop on Computational Linguistics for Linguistic Complexity;B4
EURO;European Conference on Operational Research;B4
GeoPrivacy;Workshop on Privacy in Geographic Information Collection and Analysis;B4
IMOC;SBMO/IEEE MTT-S International Microwave and Optoelectronics Conference;B4
LCDNET;Workshop on Lowest Cost Denominator Networking for Universal Access;B4
PPNIV;Workshop on Planning, Perception and Navigation for Intelligent Vehicles;B4
SmartObjects;Workshop on Interacting with Smart Objects;B4
SOCO;International Conference on Software Composition;B4
A-TEST;EST - International Workshop on Automating Test Case Design, Selection and Evaluation;B4
ATT;International Workshop on Agents in Traffic and Transportation;B4
BMAW;Bayesian Modeling Applications Workshop;B4
CONFIRM;International Conference on Information Resources Management;B4
DMNPL;Workshop on Interactions between Data Mining and Natural Language Processing;B4
EUROPKI;European Public Key Infrastructure Workshop;B4
FCTA;International Conference on Fuzzy Computation Theory and Applications;B4
ICORES;International Conference on Operations Research and Enterprise Systems;B4
MARMI;International Workshop on Multimedia Analysis and Retrieval for Multimodal Interaction;B4
SBCUP;Simpósio Brasileiro de Computação Ubíqua e Pervasiva;B4
WIM;Workshop de Informática Médica;B4
BRESCI;Brazilian e-Science Workshop;B4
LA-CCI;CI - Latin American Conference on Computational Intelligence;B4
SOCIALEDU;International Workshop on Social Computing in Digital Education;B4
ENIAC;Encontro Nacional de Inteligencia Artificial e Computacional;B4
GraphQ;International Workshop on Querying Graph Structured Data (EDBT);B4
ITA;International Conference on Internet Technologies and Applications;B4
NESY@HLAI;Workshop on Neural-Symbolic Learning and Reasoning;B4
SUGARLOAFPLOP;Latin American Conference on Pattern Languages of Programming;B4
SWEET;Workshop on Scalable Workflow Execution Engines and Technologies;B4
UCHPC;Workshop on UnConventional High Performance Computing;B4
UNIF;International Workshop on Unification;B4
URSW;International Workshop on Uncertainty Reasoning for the Semantic Web;B4
WAMCA;Workshop on Applications for Multi-Core Architectures;B4
WOSP;International Workshop on Mining Scientific Publications;B4
CBSF;Congresso Brasileiro de Sistemas Fuzzy;B4
COIN;International Workshop on Coordination, Organisations, Institutions and Norms;B4
EMAS;International Workshop on Engineering Multiagent Systems;B4
ESELAW;Workshop Latinoamericano de Ingeniería de Software Experimental;B4
HCI3P;Workshop on Human Computer Interaction in Third Places;B4
HR;Workshop on Hybrid Reasoning;B4
KnowLOD;Workshop on Knowledge Discovery and Data Mining Meets Linked Open Data;B4
MetaSel;International Workshop on Meta-Learning and Algorithm Selection;B4
MPPU;Models and Paradigms for Planning under Uncertainty: a Broad Perspective Workshop;B4
MUCS;IEEE Workshop on Managing Ubiquitous Communications and Services;B4
BPMS2;Workshop on Social and Human Aspects of Business Process Management;B4
COGNISE;International Workshop on Cognitive Aspects of Information Systems Engineering;B4
IoTAAL;Workshop on Internet of Things for Ambient Assisted Living;B4
MANSDNNFV;International Workshop on Management of SDN and NFV Systems;B4
MASS;Mobility Analytics from Spatial and Social Data;B4
RAHA;IEEE Internacional Conference on Robotics and Automation for Humanitarian Applications;B4
SCCTSA;International Workshop on Smart City Clouds: Technologies, Systems and Applications;B4
SNAA;Workshop on Social Network Analysis in Applications;B4
SORT;IEEE Workshop on Self-Organizing Real-Time Systems;B4
SEMEVAL;International Workshop on Semantic Evaluation;B5
HEALTHINF;International Conference on Health Informatics;B5
EUROCOMB;European Conference on Combinatorics, Graph Theory and Applications;B5
SMusC;Sound and Music Computing Conference;B5
EIS;SPIE Human Vision and Electronic Imaging;B5
HPG;High-Performance Graphics;B5
ICWNWC;International Conference on Wireless Networks;B5
WCAS;Workshop on Circuits and Systems Design;B5
VEM;Workshop on Software Visualization, Evolution and Maintenance;B5
ICED;International Conference on Engineering Design;B5
INTELLISYS;SAI Intelligent Systems Conference;B5
ICARSC;IEEE International Conference on Autonomous Robot Systems and Competitions;B5
SAST;Brazilian Workshop on Systematic and Automated Software Testing;B5
BIGDATASECURITY;IEEE International Conference on Big Data Security on Cloud;B5
CAD;International CAD Conference;B5
ICOMPWC;International Conference on Internet Computing and Internet of Things;B5
SACCONET;International Conference on Smart Communications in Network Technologies;B5
SAMWC;International Conference on Security and Management;B5
ICIQ;International Conference on Information Quality;B5
PDPTAWC;International Conference on Parallel and Distributed Processing Techniques and Applications;B5
ICCETaiwan;IEEE International Conference on Consumer Electronics Taiwan;B5
ICIEOM;International Conference on Industrial Engineering and Operations Management;B5
INTERACCION;International Conference on Human Computer Interaction;B5
QRSW;IEEE International Conference on Software Quality, Reliability and Security Companion;B5
LAC;Linux Audio Conference;B5
CSCL;International Conference on Computer Supported Collaborative Learning;B5
AM;Audio Mostly on Interaction With Sound;B5
CAAD;Computer-Aided Architectural Design Futures Conference;B5
CLOUDCOMPUTING-IARIA;IARIA International Conference on Cloud Computing, GRIDs, and Virtualization;B5
EA;International Conference on Artificial Evolution;B5
ICAIWC;International Conference on Artificial Intelligence;B5
ICAS-IARIA;IARIA International Conference on Autonomic and Autonomous Systems;B5
IPCVWC;International Conference on Image Processing, Computer Vision, and Pattern Recognition;B5
MoWNeT;International Conference on Selected Topics in Mobile and Wireless Networking;B5
SCSC;Summer Computer Simulation Conference;B5
VPQM;International Workshop on Video Processing and Quality Metrics for Consumer Electronics;B5
