SIGLA;Nome Padrão;Qualis 2016
FGR;IEEE International Conference on Automatic Face and Gesture Recognition;A1
ACMSOCC;ACM Symposium on Cloud Computing;A1
ASE;IEEE/ACM International Conference on Automated Software Engineering;A1
ICDCS;International Conference on Distributed Computing Systems;A1
ISSTA;International Symposium on Software Testing and Analysis;A1
LAK;International Learning Analytics and Knowledge Conference;A1
CCGRID;IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing;A1
CONEXT;Conference on Emerging Network Experiment and Technology;A1
DSN;Annual IEEE/IFIP International Conference on Dependable Systems and Networks;A1
GECCO;Genetic and Evolutionary Computation Conference;A1
ICDAR;International Conference on Document Analysis and Recognition;A1
OOPSLA;Conference on Object-Oriented Programming Systems, Languages, and Applications;A1
PIMRC;International Symposium on Personal, Indoor and Mobile Radio Communications;A1
SDM;SIAM International Conference on Data Mining;A1
ICMR;ACM International Conference on Multimedia Retrieval;A1
IJCNN;IEEE International Joint Conference on Neural Networks;A1
PPOPP;ACM SIGPLAN Symposium on Principles and Practice of Parallel Programming;A1
SenSys;ACM Conference on Embedded Network Sensor Systems;A1
SIGCSE;ACM Technical Symposium on Computer Science Education;A1
ALLERTON;Allerton Conference on Communication, Control, and Computing;A1
IEEECLOUD;IEEE International Conference on Cloud Computing;A1
PERCOM;International Conference on Pervasive Computing and Communications;A1
ECML;European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases;A1
ESWS;European Semantic Web Conference;A1
ICCAD;IEEE/ACM International Conference on ComputerAided Design;A1
IPSN;International Conference on Information Processing in Sensor Networks;A1
SAC;ACM Symposium on Applied Computing;A1
UAI;Conference on Uncertainty in Artificial Intelligence;A1
EDBT;International Conference on Extending Database Technology;A1
ICN;ACM International Conference on Information-Centric Networking;A1
ISCAS;IEEE International Symposium on Circuits and Systems;A1
HPDC;International Symposium on High Performance Distributed Computing;A1
ISMIR;International Society for Music Information Retrieval Conference;A1
PACTT;International Conference on Parallel Architectures and Compilation Techniques;A1
GIS;ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems;A1
HOTNETS;ACM Workshop on Hot Topics in Networks;A1
ECRTS;Euromicro Conference on Real-Time Systems;A1
ICSM;IEEE International Conference on Software Maintenance and Evolution;A1
CloudCom;IEEE International Conference on Cloud Computing Technology and Science;A1
FUSION;International Conference on Information Fusion;A1
ICIS;International Conference on Information Systems;A1
MOBILEHCI;International Conference on Human-Computer Interaction with Mobile Devices and Services Adjunct;A1
SPLC;International Software Product Line Conference: New Directions in Systems and Software Product Line Engineering;A1
EUROPAR;European Conference on Parallel Computing;A1
SOCIALCOM;International Conference on Social Computing;A1
ICDE;IEEE International Conference on Data Engineering;A1
IPDPS;IEEE International Parallel & Distributed Processing Symposium;A1
ICC;IEEE International Conference on Communications;A1
ICPP;International Conference on Parallel Processing;A1
ICCS;International Conference on Computational Science;A1
