Nome Trabalho;Nome Evento Cadastrado;Nome Evento Canônico
Novel Lie Speech Classification using Voice Stress;ICAART - Conferência Internacional sobre Agentes e Inteligência Artificial;International Conference on Agents and Artificial Intelligence
Experimental Analysis of the Processing Cost of Ethereum Blockchain in a Private Network;II Workshop Blockchain;WORKSHOP EM BLOCKCHAIN
Orientação Empreendedora e Desempenho Organizacional;IV Congresso de Gestão e Controladoria;CONGRESSO DE GESTÃO E CONTROLADORIA
Mission plan optimization strategy to improve nanosatellite energy utilization and tasks QoS capabilities;IV IAA Latin America Cubesat Workshop;IAA LATIN AMERICA CUBESAT WORKSHOP
FloripaSat-I;IV IAA Latin America Cubesat Workshop;IAA LATIN AMERICA CUBESAT WORKSHOP
Payload XL;IV IAA Latin America Cubesat Workshop;IAA LATIN AMERICA CUBESAT WORKSHOP
An architecture for delivering graphical web applications in constrained IoT devices;IX Brazilian Symposium on Computing Systems Engineering;Brazilian Symposium on Computing System Engineering
Uma Análise de Desempenho Criptográfico de Algoritmos Implementados no Microcontrolador MSP430F6749 Utilizando o Protocolo OSGP;IX Congresso Sul Brasileiro de Computação;CONGRESSO SUL BRASILEIRO DE COMPUTAÇÃO
Uma Avaliação de Algoritmos para a Classificação de Perfis Evolutivos em Ambientes Inteligentes;IX Congresso Sul Brasileiro de Computação (SULCOMP 2018);CONGRESSO SUL BRASILEIRO DE COMPUTAÇÃO
Uma Análise de Desempenho Criptográfico de Algoritmos Implementados no Microcontrolador MSP430F6749 Utilizando o Protocolo OSGP;IX Congresso Sul Brasileiro de Computação (SULCOMP 2018);CONGRESSO SUL BRASILEIRO DE COMPUTAÇÃO
Enseñanza de Conceptos de Vibraciones Mecánicas utilizando la simulación computacional apoyada en la plataforma Scilab / Matlab;Memórias do 11no. Congreso Internacional de Educación Superior Universidad 2018;CONGRESO INTERNACIONAL DE EDUCACIÓN SUPERIOR
Usability study of a brain-computer interface applied to people with cerebral palsy;Proc. of th 10 Internacional Conference PErvasive Technologies Related to Assistive Environments PEtra;ACM International Conference on PErvasive Technologies Related to Assistive Environments
Toward a Framework for Co-Designing Complex Technology-Based Science Curricula With Teachers;Proceeding of the annual meeting of the American Educational Research Association;ANNUAL MEETING OF THE AMERICAN EDUCATIONAL RESEARCH ASSOCIATION
FakeChain;Proceedings of Quality of Information and Communications Technology. QUATIC 2019;International Conference on Quality of Information and Communications Technology
An approach to evaluate adherence to the theme and the argumentative structure of essays;Proceedings of the 22nd International Conference, KES-2018, Belgrade, Serbia;International Conference on Knowledge-Based and Intelligent Information & Engineering Systems
